Time stamp,Paris Day text,Paris Day Type,Paris third,Location of photo,Coordinate,Instagram user,Instagram post,Instagram link,Instgram photo,,,,,,,,
"July 23, 2015 at 06:39PM",Thursday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.873732245,2.295003666&z=19",isabellafonti,??,https://instagram.com/p/5eArE5phHC/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11312200_1632678593637799_363645918_n.jpg,,,,,,,,
"July 24, 2015 at 12:13PM",Friday,Weekday,12am - 8am,North East,"https://maps.google.com/?q=48.884677704,2.343400525&z=19",malpal29,Just like a post card series continued... #MaladiaInParis,https://instagram.com/p/5f5S7xSG-M/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11312488_411529232364265_1607570204_n.jpg,,,,,,,,
"July 24, 2015 at 12:22AM",Thursday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.873055,2.297666667&z=19",chophaa,Mom jeans Guess and Adidas,https://instagram.com/p/5en9IFDC-f/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11324308_128021540869561_1350084059_n.jpg,,,,,,,,
"July 23, 2015 at 08:23AM",Wednesday,Weekday,4pm - 12am,North East,"https://maps.google.com/?q=48.8857498,2.34588&z=19",enrangdoignons,"Deuxième séduction de ce dîner : foie de lotte / sésame, en une forme plus déguisée qu'un 31 décembre, et un plaisir plus évident que le foot massage de Pulp Fiction. @osanchaise",https://instagram.com/p/5c6H8rAcTd/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11325213_1615516882058395_2089660506_n.jpg,,,,,,,,
"July 23, 2015 at 07:16PM",Thursday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.8738,2.295&z=19",vitogia72,"Arc de Triomphe, Height 50m.",https://instagram.com/p/5eE8LnvUhh/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11325232_694459030698671_1114122546_n.jpg,,,,,,,,
"July 24, 2015 at 09:47AM",Thursday,Weekday,4pm - 12am,North East,"https://maps.google.com/?q=48.889320484,2.344441524&z=19",remidargegenphotographies,Bug in the sun... #bugatti #grandprix #internationalbugattimeeting #instacar #carporn #vintage #racing #racecar #type37 #type35 #provence #clouds #speed #sun #sunrise #reflection #culpointu,https://instagram.com/p/5fonlqBft3/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11325306_483774428468284_33772765_n.jpg,,,,,,,,
"July 24, 2015 at 11:42AM",Friday,Weekday,12am - 8am,North West,"https://maps.google.com/?q=48.853528333,2.348821667&z=19",tritranz1990,,https://instagram.com/p/5f1ujChbdC/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11325774_394171237446709_2013259449_n.jpg,,,,,,,,
"July 22, 2015 at 10:27PM",Wednesday,Weekday,8am - 4pm,South East,"https://maps.google.com/?q=48.8748817,2.29338&z=19",shadai_joyce,????,https://instagram.com/p/5b19Zkv0jV/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11325819_506059496215156_767953254_n.jpg,,,,,,,,
"July 23, 2015 at 03:19AM",Wednesday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",staka0418,,https://instagram.com/p/5cXV3dvC73/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11326435_1472562599722822_360150829_n.jpg,,,,,,,,
"July 24, 2015 at 09:04AM",Thursday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",mrbirkin,Back in my beautiful #paris ?????? #home #beauty #happy #lucky,https://instagram.com/p/5fjoeoN54w/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11327329_1022207714464724_1245930523_n.jpg,,,,,,,,
"July 22, 2015 at 08:57PM",Wednesday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.884785736,2.344537748&z=19",moksh_the_restrolounge,We spotted our favourites Mr & Mrs. Bhangde with family enjoying their all favourite Som Tum Salad @moksh_the_restrolounge #healthyquote #nagpur #nagpurfoodies #Happiness #happyfaces #happytimes #familytime #yummy #oriental #somtum #salad #healthydiet #postworkout #healthyfood #healthyliving #healthfreaks #latergram #instahub #instalike #mokshnagpur #trendingFood #TakeATaste #instafood #foodstagram #foodventure #familia #chef #cravings,https://instagram.com/p/5brnZxh-0i/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11337150_492335044266682_1847893748_n.jpg,,,,,,,,
"July 24, 2015 at 03:39AM",Thursday,Weekday,4pm - 12am,South East,"https://maps.google.com/?q=48.8710098,2.2933199&z=19",maisonmanureas,5mn before the show #manureas Fall//Winter 2015/16 #couture,https://instagram.com/p/5e-aowjsPN/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11348184_1124649527549904_1410371340_n.jpg,,,,,,,,
"July 23, 2015 at 04:38PM",Thursday,Weekday,12am - 8am,North West,"https://maps.google.com/?q=48.853561667,2.348033333&z=19",avekefir,"G-morning! 
#vscophile #vscogrid #vsco #vscocam #paris #love #france",https://instagram.com/p/5dy2jBHNqc/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11348212_1462916930675370_1962167837_n.jpg,,,,,,,,
"July 24, 2015 at 12:43PM",Friday,Weekday,12am - 8am,North West,"https://maps.google.com/?q=48.851711667,2.350383333&z=19",estefanybetsn,Volver a París ????????#Paris,https://instagram.com/p/5f8vMiwwz2/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11353023_1651136135098442_2071696646_n.jpg,,,,,,,,
"July 23, 2015 at 11:41PM",Thursday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.87326751,2.29658884&z=19",megantickle,,https://instagram.com/p/5ejNeaMh9r/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355016_767193230069997_1615101179_n.jpg,,,,,,,,
"July 24, 2015 at 02:25PM",Friday,Weekday,12am - 8am,South East,"https://maps.google.com/?q=48.873951,2.2928801&z=19",margauxgr_,Arc on fire w/ @kevadams ??,https://instagram.com/p/5gIVz2nl7T/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355153_1608289986107319_894860476_n.jpg,,,,,,,,
"July 22, 2015 at 07:08PM",Wednesday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.886944444,2.341111111&z=19",mile_rb,"La découverte des autres, enrichit ton voyage. #2015 #Paris #NoFilter #Montmartre #family avec @caro_rb & Co. #travelgram #sky #yes #foreveronvacation #awesome #places #France #Paris",https://instagram.com/p/5bfNapyrNh/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355268_1115815515099488_375705619_n.jpg,,,,,,,,
"July 22, 2015 at 01:45PM",Wednesday,Weekday,12am - 8am,North West,"https://maps.google.com/?q=48.853375,2.349625&z=19",_emilys211_,You haven't tasted real crêpes until you've had this parisian nutella one !!,https://instagram.com/p/5a6QUuTB2f/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355958_979277745456635_560427214_n.jpg,,,,,,,,
"July 22, 2015 at 04:47PM",Wednesday,Weekday,12am - 8am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",robinvirginie,Voici ce que nous offrent les arbres de Paris : des feuilles en forme de ?? #Love #Paris #holidays #farniente,https://instagram.com/p/5bPDQoDqX6/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355985_105855366429060_4254622_n.jpg,,,,,,,,
"July 24, 2015 at 05:45AM",Thursday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.8531479,2.3493931&z=19",segerpolen,,https://instagram.com/p/5fM2PsDUcB/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11356378_866606300084168_1119789651_n.jpg,,,,,,,,
"July 24, 2015 at 09:50AM",Thursday,Weekday,4pm - 12am,North East,"https://maps.google.com/?q=48.889221189,2.344376694&z=19",remidargegenphotographies,Speed! #bugatti #grandprix #internationalbugattimeeting #instacar #carporn #vintage #racing #racecar #type13 #provence #clouds #speed #clouds #rain #brescia #cyclecar,https://instagram.com/p/5fo6TRBfug/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11356975_454645244696133_1653463544_n.jpg,,,,,,,,
"July 23, 2015 at 10:25AM",Thursday,Weekday,12am - 8am,North East,"https://maps.google.com/?q=48.886709242,2.343006134&z=19",fionabrissonofficial,#SacréCœur #paris #18 #arrondissement #photography #aujourdhui #promenade,https://instagram.com/p/5dIFaspdHd/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357415_1588805994704273_374642310_n.jpg,,,,,,,,
"July 23, 2015 at 05:08PM",Thursday,Weekday,12am - 8am,North West,"https://maps.google.com/?q=48.852966667,2.347253333&z=19",thecultcollective,Adventuring autour de Saint Michel. x @jess_zanotti,https://instagram.com/p/5d2Msqwfu-/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11372049_412315995627241_1384164771_n.jpg,,,,,,,,
"July 24, 2015 at 12:19PM",Friday,Weekday,12am - 8am,North West,"https://maps.google.com/?q=48.85281461,2.347286269&z=19",rebeccamcrosby,I finally made it ??,https://instagram.com/p/5f57dRP4xu/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11373798_119900018351492_1606370107_n.jpg,,,,,,,,
"July 24, 2015 at 06:36AM",Thursday,Weekday,4pm - 12am,North East,"https://maps.google.com/?q=48.886694444,2.343&z=19",psilo84,Beautiful #sacrecoeur et son #ciel vaporeux ! ?? #homewithaview #paris #sky,https://instagram.com/p/5fSuFfKfnd/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11375185_883537121714104_1839554771_n.jpg,,,,,,,,
"July 23, 2015 at 08:13AM",Wednesday,Weekday,4pm - 12am,South East,"https://maps.google.com/?q=48.874495771,2.293809883&z=19",azooz3302,"..!??? ????? ???????? ????????? ??????? ??? ?? ????? ????? ?????? 
#holiday #friend #paris #follow #love #like #love4love #sefenx",https://instagram.com/p/5c5BGVxS7K/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11375226_472033592975370_1257046490_n.jpg,,,,,,,,
"July 23, 2015 at 10:21PM",Thursday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.85202432,2.34733578&z=19",heyyy_joee,,https://instagram.com/p/5eaFs_xRRx/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11375320_855940347776290_1232245335_n.jpg,,,,,,,,
"July 22, 2015 at 09:05PM",Wednesday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",sabantuichik,"?????, ? ?????????? ???????????, ??????? ????????, ????????????? ????????? ? ????? ????????. ??????? ? ??? ?????????, ??? ?? ??????? ??????  ?? ????????, ?? ????????? ?????? - ??? ???????? ?",https://instagram.com/p/5bsigRriGI/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11375757_1680404492189357_313938619_n.jpg,,,,,,,,
