Time stamp,Paris Day text,Paris Day Type,Paris third,Location of photo,Coordinate,Instagram user,Instagram post,Instagram link,Instgram photo,,,,,,,,
"July 24, 2015 at 11:45AM",Friday,Weekday,12am - 8am,North East,"https://maps.google.com/?q=48.8882385,2.3451832&z=19",florguiet,????,https://instagram.com/p/5f2GrMgLoM/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/e35/sh0.08/11427461_864537436974101_1182981184_n.jpg,,,,,,,,
"July 24, 2015 at 08:56AM",Thursday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",bornhipsteragain,Beautiful,https://instagram.com/p/5fixNayuWa/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/e35/sh0.08/11428169_137607336574144_79216893_n.jpg,,,,,,,,
"July 23, 2015 at 10:14PM",Thursday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",artifactofdesolation,Circvmspice #notredame #sick,https://instagram.com/p/5eZNpNma_P/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/e35/sh0.08/11428805_1614984968744681_486525528_n.jpg,,,,,,,,
"July 22, 2015 at 09:53PM",Wednesday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.8518219,2.3517399&z=19",bebeta28,Que o amor seja a melhor forma de começar e terminar o dia! Bom dia! Bonjour! ???????? #parisjetaime #parisphoto #bomdia #bonjour #notredame #mytravelgram #Deusnocomando #pontdesarts #eurotrip,https://instagram.com/p/5byG8zlfLV/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/e35/sh0.08/11429237_1465114273807573_1215370715_n.jpg,,,,,,,,
"July 24, 2015 at 03:22AM",Thursday,Weekday,4pm - 12am,South East,"https://maps.google.com/?q=48.875078333,2.29353&z=19",nathanyelbns,??????,https://instagram.com/p/5e8jvLOmgx/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/e35/sh0.08/11429561_1602510803339131_42546405_n.jpg,,,,,,,,
"July 23, 2015 at 09:32PM",Thursday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",nan_dalla,"??? ???? #pointzero #????
?? ??? ???? .
#?? #family #?? #?????? #????? #??? #?????? #?? #?? #picoftheday #photooftheday #paris #?? #?? #europe #instadaily #instagood #travel #travelgram #trip #familytime #instamood #france #??? #cathedral #notredame",https://instagram.com/p/5eUaPAw1I7/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/e35/sh0.08/11430200_474428659390728_37806161_n.jpg,,,,,,,,
"July 24, 2015 at 08:57AM",Thursday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.852303333,2.348496667&z=19",gloomable,,https://instagram.com/p/5fi4oLFZVD/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/e35/sh0.08/11430203_439257009586999_1578959042_n.jpg,,,,,,,,
"July 23, 2015 at 03:27AM",Wednesday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",_cde3,"Highlights of the day! The Eiffel Tower, and Notre Dame Cathedral!",https://instagram.com/p/5cYP28ksrv/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/e35/sh0.08/11430221_1650203841860796_487182743_n.jpg,,,,,,,,
"July 23, 2015 at 02:08AM",Wednesday,Weekday,4pm - 12am,North East,"https://maps.google.com/?q=48.8882385,2.3451832&z=19",sara.alebrahim,My favorite place in #paris,https://instagram.com/p/5cPQYtxcgc/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/e35/sh0.08/1971404_868535403217466_717917169_n.jpg,,,,,,,,
"July 22, 2015 at 09:10PM",Wednesday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.854722,2.3475&z=19",dearlauraco,There's a new post on www.dearlaura.co with a couple of pictures from June ?? #seemyparis #bluronpurpose,https://instagram.com/p/5btI_Tjm3S/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/e35/sh0.08/924658_1140965722585818_474388076_n.jpg,,,,,,,,
"July 23, 2015 at 12:00AM",Wednesday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.886047,2.34322&z=19",mamasaxo,Paris est si belle...,https://instagram.com/p/5cAocVp-XG/,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/e15/10724695_1617387775202669_1161738322_n.jpg,,,,,,,,
"July 24, 2015 at 02:20PM",Friday,Weekday,12am - 8am,North East,"https://maps.google.com/?q=48.875707972,2.296699046&z=19",shanneniicole,i'm tragically missing Paris,https://instagram.com/p/5gH2zWCVP4/,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/e15/1169209_141698989497538_1326950220_n.jpg,,,,,,,,
"July 24, 2015 at 01:06PM",Friday,Weekday,12am - 8am,North East,"https://maps.google.com/?q=48.87392167,2.295519936&z=19",mauheroli,??,https://instagram.com/p/5f_V2Wmrtv/,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/e35/sh0.08/10004218_1633499293533618_328978352_n.jpg,,,,,,,,
"July 24, 2015 at 01:40PM",Friday,Weekday,12am - 8am,North East,"https://maps.google.com/?q=48.887733333,2.34195&z=19",bekikko,,https://instagram.com/p/5gDN-kB1xq/,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/e35/sh0.08/10326570_1168876936471851_1845174214_n.jpg,,,,,,,,
"July 22, 2015 at 08:38PM",Wednesday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.854722222,2.3475&z=19",colinevirly,#paris ??,https://instagram.com/p/5bpfjSIbIX/,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/e35/sh0.08/10549821_428652677342089_1255382638_n.jpg,,,,,,,,
"July 23, 2015 at 10:21AM",Thursday,Weekday,12am - 8am,North East,"https://maps.google.com/?q=48.873361825,2.295913662&z=19",chik1nwong,,https://instagram.com/p/5dHqv3RxxF/,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/e35/sh0.08/10727358_1640857932795917_293504978_n.jpg,,,,,,,,
"July 22, 2015 at 09:29PM",Wednesday,Weekday,8am - 4pm,South East,"https://maps.google.com/?q=48.872758467,2.292526084&z=19",caulaincourtparis,"WALDEMAR model, on dragon last, very nice blue for this dandy Chelsea boots #chelsea #bluelagoon #handmade #france #paris #caulaincourt #caulaincourtshoes #dandy #menstyle #menshoes #patina #wardrobe #men #styleCaulaincourt #last #caulaincourtparis  #madeinfrance #shoes #polish #shoeshine #luxury #leather #myshoes #luxe
#shoemaker #design #luxurybrand #luxurystyle #picoftheday #shoeporn",https://instagram.com/p/5bvXyDxImP/,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/e35/sh0.08/10810023_1600987563495622_1256315317_n.jpg,,,,,,,,
"July 24, 2015 at 03:56PM",Friday,Weekday,12am - 8am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",louissbe,Hello sweet Paris.,https://instagram.com/p/5gS0NssLSa/,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/e35/sh0.08/10954704_1001052553259666_2003644885_n.jpg,,,,,,,,
"July 24, 2015 at 10:02AM",Friday,Weekday,12am - 8am,South East,"https://maps.google.com/?q=48.874495771,2.293809883&z=19",jana0513,Exploring Paris with the BEST guide...baby sis! So good to be reunited #eiffeltower #wanderlust,https://instagram.com/p/5fqPDnqA1O/,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/e35/sh0.08/1169188_473609856134477_572373877_n.jpg,,,,,,,,
"July 22, 2015 at 09:26PM",Wednesday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",sam.aceto,"Day 34: Bonjour, Paris! ???? #france #eurotrip #fernweh",https://instagram.com/p/5bvB4kC_Qh/,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/e35/sh0.08/1171069_907695039267551_480741704_n.jpg,,,,,,,,
"July 24, 2015 at 12:12AM",Thursday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.88704782,2.341442751&z=19",fedeustare,París nos despide ... #Francia #vacaciones #amigos #París #montmartre,https://instagram.com/p/5emvh4gkkB/,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/e35/sh0.08/1171209_898292366874860_427170764_n.jpg,,,,,,,,
"July 23, 2015 at 08:32AM",Wednesday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.853551201,2.347933831&z=19",marinamler,"quarta feira, em Paris",https://instagram.com/p/5c7LV2PY5n/,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/e35/sh0.08/1517112_741447679300032_1859147202_n.jpg,,,,,,,,
"July 23, 2015 at 10:27AM",Thursday,Weekday,12am - 8am,North East,"https://maps.google.com/?q=48.887058333,2.342208333&z=19",vlesykrasivo,? ????????. ????????. ?????,https://instagram.com/p/5dITpAPL48/,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/e35/sh0.08/1517166_987402497958746_1754466401_n.jpg,,,,,,,,
"July 22, 2015 at 12:51PM",Wednesday,Weekday,12am - 8am,North East,"https://maps.google.com/?q=48.873828333,2.295096667&z=19",sozzzin,?? ? ????,https://instagram.com/p/5a0AuXsf68/,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/e35/sh0.08/1517190_839835439433911_776095981_n.jpg,,,,,,,,
"July 24, 2015 at 07:57AM",Thursday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.85281461,2.347286269&z=19",harissasanchez,Logolepsy;,https://instagram.com/p/5fb-GNAlN-/,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/e35/sh0.08/1889133_1621625354744280_1152192930_n.jpg,,,,,,,,
"July 24, 2015 at 05:34AM",Thursday,Weekday,4pm - 12am,North East,"https://maps.google.com/?q=48.873766667,2.294978333&z=19",sofia_runs25,"Eternal flame, burned continuously since 1921, in memory of all who died in World War I. ???? #france #paris #travel #instatravel #traveling #photooftheday #vacation #trip #instapassport #tourist #adventure #thatlife",https://instagram.com/p/5fLqn9oKQ5/,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/e35/sh0.08/1889221_984948088202193_1482472419_n.jpg,,,,,,,,
"July 24, 2015 at 11:38AM",Friday,Weekday,12am - 8am,North East,"https://maps.google.com/?q=48.885807818,2.343257574&z=19",o.qii,"??? ??,",https://instagram.com/p/5f1ThnKPUr/,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/e35/sh0.08/924079_441870039324339_302198897_n.jpg,,,,,,,,
"July 22, 2015 at 09:44PM",Wednesday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",surprisinglyalways,"""The way the waves
Wash empty words away
Is opportunity, he nods
We need to bridge burn? ?? @littlecomets ",,,,,,,,,,
"#notredame #cathedral #paris #music #summer""",https://instagram.com/p/5bw_JDNkaz/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/10299797_880013902064421_1934309676_n.jpg,,,,,,,,,,,,,,,
"July 23, 2015 at 06:57PM",Thursday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.875939932,2.296517845&z=19",thefroginthemug,"Un grand caf?crème

#allezHowardUnCaf?#ihavethisthingwithfloors #ihavethisthingwithwalls #starbucks #sireneducafe #inspiring #instasyon #instadaily #hipexplore #hipexploreparis #igersparis #jointheclass #graphicdesign #ciment #lovedesign",https://instagram.com/p/5eCsskBjGR/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/10299845_1669503516618593_2042934722_n.jpg,,,,,,,,
"July 23, 2015 at 10:45AM",Thursday,Weekday,12am - 8am,North West,"https://maps.google.com/?q=48.852413333,2.35082&z=19",heaton5747,Notre Dame,https://instagram.com/p/5dKYshvuZg/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/10431988_799602380161191_733193473_n.jpg,,,,,,,,
"July 23, 2015 at 03:19AM",Wednesday,Weekday,4pm - 12am,North East,"https://maps.google.com/?q=48.88921034,2.343338185&z=19",djedjouille,Plafond d écailles ?? #artsdeco #artdeco #wabbes #laiton #brass #scale #shell #ceiling #detail #architecture #design #interiordesign #archiporn #texture #goldisthenewblack #wanted #inspiration #inspo #beauty #perfectfinitions #brussels  #finearts,https://instagram.com/p/5cXaBdNOsC/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/10522180_1618799331711451_813780901_n.jpg,,,,,,,,
"July 23, 2015 at 06:35PM",Thursday,Weekday,8am - 4pm,South East,"https://maps.google.com/?q=48.875190206,2.293883739&z=19",eleanor_is_life,@eleanorj92 via ig ?? #eleanorcalder #louistomlinson #calderic #elounor #harrystyles #niallhoran #liampayne #zaynmalik #onedirection #5yearsofonedirection ~B,https://instagram.com/p/5eAP7HrlUw/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/10809601_1150990618248529_981821407_n.jpg,,,,,,,,
"July 22, 2015 at 10:32PM",Wednesday,Weekday,8am - 4pm,South East,"https://maps.google.com/?q=48.8710098,2.2933199&z=19",colletbe,#followme@tagsforlikes#like4like #tagsforlikes#TFLers#liker#likes#l4l#likes4likes#photooftheday#love#likebackteam#likeforlike#likesforlikes#liketeam#likeback#instagood#likeall#likealways#liking,https://instagram.com/p/5b2lLRBGn3/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/10948685_1461467874174778_762277409_n.jpg,,,,,,,,
"July 22, 2015 at 09:32PM",Wednesday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.854211581,2.352619171&z=19",marko_ma,"?? ????????????, ?????????! #paris",https://instagram.com/p/5bvptUK_Zf/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/10948694_612009715608058_1909614311_n.jpg,,,,,,,,
"July 23, 2015 at 07:55PM",Thursday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.8857498,2.34588&z=19",enrangdoignons,"#TuMangesTuSignes #Nomos
Sur une idée originale de @julesregis , grand être biscornu du monde de l'art et de l'humour tordu, je vous propose, lors de nos prochaines attablées communes, de me soumettre vos impressions illico-?chaud, auxquelles je ne changerai pas une lettre. ??
Son mot sur Nomos #NosMots :
??
""Accompagner Miss Enangdoignons dans ses excursions, ca n’est pas de la tarte ... et ce soir ça tombe plutôt bien : Les pâtissiers cuisinent !
Novice dans le monde de la ?foude ? ma promenade ??combien délicieuse ?fut marquée par la calligraphie soignée de chaque assiette.
Au cours de mon périple, les formes oblongues de Zao Wou ki se réincarnaient dans un foie de lotte, tandis que Manet, ?cours d’asperges, venait les remplacer par quelques morceaux de rhubarbe.
Ici, il est mal vu de chuchoter, vos baskets sont les bienvenues et vous ressortirez sans l’envie de courir vers le Mcdo le plus proche ?histoire de se taper un bon doublecheese ?!
Le conseil du compagnon : Avec ou sans Raphaële : Foncez chez Nomos !"" @osanchaise",https://instagram.com/p/5eJZm7gceM/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/10949059_500100326821432_1842516922_n.jpg,,,,,,,,
"July 23, 2015 at 05:43AM",Wednesday,Weekday,4pm - 12am,North East,"https://maps.google.com/?q=48.8881645,2.3405745&z=19",noeud_noeud,#Paris #vignes #montmartre,https://instagram.com/p/5cn2HExh8D/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/11190692_1646392042242714_482161745_n.jpg,,,,,,,,
"July 22, 2015 at 07:52PM",Wednesday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",hannahclxrke,paris last night ?? #paris #france,https://instagram.com/p/5bkRG-uTGx/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/11205704_362257793985589_1306778996_n.jpg,,,,,,,,
"July 23, 2015 at 10:48AM",Thursday,Weekday,12am - 8am,North West,"https://maps.google.com/?q=48.852488333,2.351008333&z=19",heaton5747,Notre Dame,https://instagram.com/p/5dKuo1PuZ8/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/1389614_715255321913804_1024565948_n.jpg,,,,,,,,
"July 22, 2015 at 10:57PM",Wednesday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",tishou2,21/07/2015 ?? #NoFilter #NotreDame #Paris  #NotrzDameDeParis #ParisByNight #July #Holidays #Chill #Chilling #Light #MyView #Beauty #LikeIt  #BeautifulNight #Parisienne #Life,https://instagram.com/p/5b5VnChyso/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/1530640_388284808037766_548114756_n.jpg,,,,,,,,
"July 22, 2015 at 08:36PM",Wednesday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.8738,2.295&z=19",feelingheaven,Impressionnant,https://instagram.com/p/5bpP9bNXm7/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/1741282_1454393408218074_1033169218_n.jpg,,,,,,,,
"July 22, 2015 at 10:23AM",Wednesday,Weekday,12am - 8am,South East,"https://maps.google.com/?q=48.8710098,2.2933199&z=19",anthonybouzaid,#rooftop ????????,https://instagram.com/p/5ajF4klUzn/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e15/10844171_834526093283953_2143772934_n.jpg,,,,,,,,
"July 23, 2015 at 10:52PM",Thursday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.8545972,2.348737&z=19",threoktavia97,Hello world??,https://instagram.com/p/5edq8Bk-CQ/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e15/927730_852256324865297_963084861_n.jpg,,,,,,,,
"July 23, 2015 at 05:43AM",Wednesday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.852146667,2.349078333&z=19",louisemalmqvist,Ringaren i Notre-Dame.,https://instagram.com/p/5cn2XgKhWi/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/10296986_861421967239043_1858940936_n.jpg,,,,,,,,
"July 23, 2015 at 05:36AM",Wednesday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",mi6lo,#NotreDamedeParis #Paris,https://instagram.com/p/5cnBiNFo8q/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/10299808_100307513654639_1562426460_n.jpg,,,,,,,,
"July 23, 2015 at 11:44AM",Thursday,Weekday,12am - 8am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",pinar_viola,Packing my roommates ?? It's the moving magic show #HomeMove ?? Paris we stay,https://instagram.com/p/5dROTUozkF/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/10518251_114445275565743_123029322_n.jpg,,,,,,,,
"July 23, 2015 at 01:48PM",Thursday,Weekday,12am - 8am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",annaseaskey,"Awak tunggu saya. Saya tak pergi mana, I'll be seeing you very soon. Promise ?? #AE_BWSeries",https://instagram.com/p/5dfXTQRHA1/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/10665992_467055436789647_224769868_n.jpg,,,,,,,,
"July 24, 2015 at 07:54AM",Thursday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",epii,,https://instagram.com/p/5fbn4_J61Q/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/10684006_399683836887112_1424583939_n.jpg,,,,,,,,
"July 24, 2015 at 07:42AM",Thursday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",jasonzhang_8925,Notre Dame view from River Senna #riversenna #notredame #landmark #heritage #france #summer #trip #tour,https://instagram.com/p/5faORBE2y5/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/10723885_431776023691192_19813336_n.jpg,,,,,,,,
"July 22, 2015 at 01:58PM",Wednesday,Weekday,12am - 8am,North East,"https://maps.google.com/?q=48.886694444,2.343&z=19",luzrosalesbtz,#Paris #StreetArt,https://instagram.com/p/5a7qurlW7u/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/10809784_1507305846227906_943336392_n.jpg,,,,,,,,
"July 22, 2015 at 08:50PM",Wednesday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.851616667,2.351591667&z=19",kaanbeck,"When you love, throwaway the key.",https://instagram.com/p/5bq1K7Bxqy/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/10844027_379105128954427_698605934_n.jpg,,,,,,,,
"July 23, 2015 at 07:49PM",Thursday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.8857267,2.3417222&z=19",daakh,Juste #paris  #montmartre #sacrecoeur  #city #cityscape ??,https://instagram.com/p/5eIo0nGRCV/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/10864846_1471867316458777_1931496246_n.jpg,,,,,,,,
"July 22, 2015 at 09:03PM",Wednesday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.886396667,2.342388333&z=19",pengjunxi,,https://instagram.com/p/5bsZU3lymg/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/10865053_1569424366630501_2096888746_n.jpg,,,,,,,,
"July 22, 2015 at 07:25PM",Wednesday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.88632745,2.343214267&z=19",sara_chehab1,,https://instagram.com/p/5bhJSIRTA4/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/10865138_626562737485070_1360066343_n.jpg,,,,,,,,
"July 22, 2015 at 01:38PM",Wednesday,Weekday,12am - 8am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",glennllorente,#notredame #paris,https://instagram.com/p/5a5ZZlKWSS/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/10919693_890376824388901_122970786_n.jpg,,,,,,,,
"July 23, 2015 at 10:40PM",Thursday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",aoifeinthefort,The view from Notre-dame towers. #parisjetaime #nofilter #broifeontour,https://instagram.com/p/5ecS6rBDr-/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/10932590_465216613660139_728377205_n.jpg,,,,,,,,
"July 24, 2015 at 03:34AM",Thursday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",tonydoc,,https://instagram.com/p/5e91M4hyhz/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/10948816_1652113375002353_916090683_n.jpg,,,,,,,,
"July 24, 2015 at 05:47AM",Thursday,Weekday,4pm - 12am,South East,"https://maps.google.com/?q=48.87395,2.294308333&z=19",brother__water,,https://instagram.com/p/5fNEOKiTwq/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/10948903_859638400749883_236626354_n.jpg,,,,,,,,
"July 23, 2015 at 09:28PM",Thursday,Weekday,8am - 4pm,South East,"https://maps.google.com/?q=48.875845171,2.294532932&z=19",maryamalsharqi,Paris day/night ??,https://instagram.com/p/5eUAS6w3M2/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/10949072_522151541276169_928597907_n.jpg,,,,,,,,
"July 23, 2015 at 07:16PM",Thursday,Weekday,8am - 4pm,South East,"https://maps.google.com/?q=48.874495771,2.293809883&z=19",nozorouard,#Paris????,https://instagram.com/p/5eE7WFH3ey/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/10949092_1611161862483167_285086681_n.jpg,,,,,,,,
"July 23, 2015 at 08:44AM",Wednesday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",jjamesbriann,,https://instagram.com/p/5c8kDwPq0e/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/11202632_1856433944582425_1115124092_n.jpg,,,,,,,,
"July 22, 2015 at 09:31PM",Wednesday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.85281461,2.347286269&z=19",tulluv,,https://instagram.com/p/5bviSPsb8k/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/11202919_1473909552922806_592520403_n.jpg,,,,,,,,
"July 23, 2015 at 08:50AM",Wednesday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.851763333,2.351716667&z=19",katie_mcfadden_,Pont des Art bridge~ Paris,https://instagram.com/p/5c9O2Hj9-7/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/11202994_1007409996053736_631412262_n.jpg,,,,,,,,
"July 23, 2015 at 10:42PM",Thursday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",abimogs,Hello my old friend ?? #notredame #paris,https://instagram.com/p/5ech1tRP_h/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/11203373_1606951622909730_1663848284_n.jpg,,,,,,,,
"July 22, 2015 at 10:17AM",Wednesday,Weekday,12am - 8am,North East,"https://maps.google.com/?q=48.8762817,2.2951601&z=19",shivasherbaf,"Mussel, mushrooms and squid inc cracker #food #foodpics #foodporn #foodphotography #instafood #gastronomy #etoilesurmer #paris #lefooding @lefooding #samsunginstawards @samsungfrance @guysavoy",https://instagram.com/p/5aiYa1kL0W/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/11208317_502695613225416_624625484_n.jpg,,,,,,,,
"July 24, 2015 at 12:36AM",Thursday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.854409916,2.34999157&z=19",morgane_vaea,??,https://instagram.com/p/5epj-sFL7B/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/1389722_1448315328811607_2132033638_n.jpg,,,,,,,,
"July 23, 2015 at 09:43AM",Wednesday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",98lilyb,La ville de la lumière est très joli,https://instagram.com/p/5dDVhoEIhV/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/1391420_864283860287466_1328967415_n.jpg,,,,,,,,
"July 22, 2015 at 01:36PM",Wednesday,Weekday,12am - 8am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",glennllorente,#notredame #iledelacite #paris,https://instagram.com/p/5a5JGSqWR5/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/1538402_532176076933791_1841957101_n.jpg,,,,,,,,
"July 22, 2015 at 10:49PM",Wednesday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.873091667,2.296158333&z=19",el7ala.kaleh,Bonjour ????,https://instagram.com/p/5b4dfxkFoy/,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/1739590_987812164602894_1878259504_n.jpg,,,,,,,,
