Time stamp,Paris Day text,Paris Day Type,Paris third,Instagram user,Instgram photo
"August 19, 2015 at 12:21PM",Wednesday,Weekday,12am - 8am,koro_ni,hi
"August 19, 2015 at 03:44PM",Wednesday,Weekday,12am - 8am,lisrachi,hi
"August 19, 2015 at 05:00PM",Wednesday,Weekday,12am - 8am,eunhwaaa_lee,hi
"August 19, 2015 at 07:19PM",Wednesday,Weekday,8am - 4pm,nacho1487,hi
"August 19, 2015 at 10:23PM",Wednesday,Weekday,8am - 4pm,delaposhremtol,hi
"August 19, 2015 at 10:24PM",Wednesday,Weekday,8am - 4pm,malikao_0,hi
"August 19, 2015 at 10:28PM",Wednesday,Weekday,8am - 4pm,linabader_,hi
"August 19, 2015 at 11:26PM",Wednesday,Weekday,8am - 4pm,_hx6,hi
"August 19, 2015 at 11:31PM",Wednesday,Weekday,8am - 4pm,jooung,hi
"August 19, 2015 at 11:33PM",Wednesday,Weekday,8am - 4pm,mhyria_miller,hi
"August 20, 2015 at 02:06AM",Wednesday,Weekday,4pm - 12am,itsmeliona,hi
"August 20, 2015 at 02:11AM",Wednesday,Weekday,4pm - 12am,victravel_,hi
"August 20, 2015 at 04:07AM",Wednesday,Weekday,4pm - 12am,bbengu,hi
"August 20, 2015 at 06:05AM",Wednesday,Weekday,4pm - 12am,rebecca_ann_boden,hi
"August 20, 2015 at 07:26AM",Wednesday,Weekday,4pm - 12am,with_2j,hi
"August 20, 2015 at 07:29AM",Wednesday,Weekday,4pm - 12am,j_diary0328,hi
"August 20, 2015 at 08:24AM",Wednesday,Weekday,4pm - 12am,mohova_elizaveta,hi
"August 20, 2015 at 09:28AM",Wednesday,Weekday,4pm - 12am,hee_so,hi
"August 20, 2015 at 09:28AM",Wednesday,Weekday,4pm - 12am,eva_nwk,hi
"July 31, 2015 at 11:00AM",Friday,Weekday,12am - 8am,donkeezypic,hi
"July 13, 2015 at 09:06PM",Monday,Weekday,8am - 4pm,lord_riko,hi
"July 27, 2015 at 10:57AM",Monday,Weekday,12am - 8am,sylvainecaron,hi
"August 10, 2015 at 11:29AM",Monday,Weekday,12am - 8am,agnesegaggero,hi
"July 18, 2015 at 05:41PM",Saturday,Weekend,12am - 8am,marylinethefaceparis,hi
"August 01, 2015 at 10:13AM",Saturday,Weekend,12am - 8am,mmminz_,hi
"July 27, 2015 at 01:59AM",Sunday,Weekend,8am - 4pm,sylvainecaron,hi
"July 27, 2015 at 02:02AM",Sunday,Weekend,4pm - 12am,sylvainecaron,hi
"July 21, 2015 at 02:51PM",Tuesday,Weekday,12am - 8am,allthewaylive_tas,hi
"August 05, 2015 at 11:55AM",Wednesday,Weekday,12am - 8am,her_cleopatra,hi
"August 19, 2015 at 08:13PM",Wednesday,Weekday,8am - 4pm,fotos_cristianmb,hi
"July 17, 2015 at 06:02PM",Friday,Weekday,8am - 4pm,christa_billich_gallery,hi
"August 07, 2015 at 11:24AM",Friday,Weekday,12am - 8am,jamila.elidrissialwatik,hi
"August 16, 2015 at 06:47PM",Sunday,Weekend,8am - 4pm,frenchlady7,hi
"July 16, 2015 at 01:19PM",Thursday,Weekday,12am - 8am,wandola2015,hi
"August 12, 2015 at 05:32AM",Tuesday,Weekday,4pm - 12am,jandrick_garmhausen,hi
"August 02, 2015 at 03:15AM",Saturday,Weekend,4pm - 12am,beggert,hi
"August 06, 2015 at 09:50AM",Wednesday,Weekday,4pm - 12am,lamyeehong,hi
"July 29, 2015 at 03:00AM",Tuesday,Weekday,4pm - 12am,shamelmh,hi
"August 16, 2015 at 09:51AM",Saturday,Weekend,4pm - 12am,audreelabonte,hi
"August 02, 2015 at 08:24PM",Sunday,Weekend,8am - 4pm,jammers823,hi
"July 25, 2015 at 05:47AM",Friday,Weekday,4pm - 12am,its_ali_17,hi
"July 22, 2015 at 03:05PM",Wednesday,Weekday,12am - 8am,dontgiveuponthed,hi
"July 24, 2015 at 04:52PM",Friday,Weekday,12am - 8am,alitanko,hi
"August 11, 2015 at 06:18AM",Monday,Weekday,4pm - 12am,fredy_xox,hi
"August 01, 2015 at 08:12AM",Friday,Weekday,4pm - 12am,noanoa1435,hi
"July 18, 2015 at 08:43PM",Saturday,Weekend,8am - 4pm,_ashparks,hi
"August 13, 2015 at 05:30PM",Thursday,Weekday,12am - 8am,339_p,hi
"August 14, 2015 at 08:38AM",Thursday,Weekday,4pm - 12am,alex.perrey,hi
"August 17, 2015 at 01:33PM",Monday,Weekday,12am - 8am,bllyth,hi
"August 17, 2015 at 07:12PM",Monday,Weekday,8am - 4pm,artem14111987,hi
"August 17, 2015 at 08:21PM",Monday,Weekday,8am - 4pm,yotomareunginfizz,hi
"August 17, 2015 at 09:06PM",Monday,Weekday,8am - 4pm,rebecca_aller,hi
"August 17, 2015 at 09:06PM",Monday,Weekday,8am - 4pm,estanislausousa,hi
"August 17, 2015 at 10:18PM",Monday,Weekday,8am - 4pm,dark_moon_mp,hi
"August 18, 2015 at 01:16AM",Monday,Weekday,8am - 4pm,mery_stymz,hi
"August 18, 2015 at 02:14AM",Monday,Weekday,4pm - 12am,marwan_lu,hi
"August 16, 2015 at 01:51AM",Saturday,Weekend,8am - 4pm,mystylishwardrobe,hi
"August 16, 2015 at 02:48AM",Saturday,Weekend,4pm - 12am,rabiaknc50,hi
"August 16, 2015 at 02:48AM",Saturday,Weekend,4pm - 12am,seraleeva,hi
"August 16, 2015 at 03:49AM",Saturday,Weekend,4pm - 12am,madeleinestclair,hi
"August 16, 2015 at 03:51AM",Saturday,Weekend,4pm - 12am,fialka151999,hi
"August 16, 2015 at 03:53AM",Saturday,Weekend,4pm - 12am,waleed0000,hi
"August 16, 2015 at 11:45AM",Sunday,Weekend,12am - 8am,d.king777,hi
"August 16, 2015 at 11:50AM",Sunday,Weekend,12am - 8am,thedennis_zh,hi
"August 16, 2015 at 11:52AM",Sunday,Weekend,12am - 8am,malikaser,hi
"August 16, 2015 at 03:30PM",Sunday,Weekend,12am - 8am,kolby_17,hi
"August 16, 2015 at 03:42PM",Sunday,Weekend,12am - 8am,hyunjung5,hi
"August 16, 2015 at 04:01PM",Sunday,Weekend,12am - 8am,megairawan,hi
"August 16, 2015 at 04:38PM",Sunday,Weekend,12am - 8am,heatherdyann,hi
"August 17, 2015 at 08:03AM",Sunday,Weekend,4pm - 12am,lars_jan,hi
"August 17, 2015 at 09:04AM",Sunday,Weekend,4pm - 12am,pdivecha93,hi
"August 17, 2015 at 09:04AM",Sunday,Weekend,4pm - 12am,rachel.1802,hi
"July 27, 2015 at 09:48PM",Monday,Weekday,8am - 4pm,filiz536,hi
"July 17, 2015 at 02:18AM",Thursday,Weekday,4pm - 12am,anhminh22,hi
"August 03, 2015 at 03:56PM",Monday,Weekday,12am - 8am,lemarilikecalamari,hi
"July 15, 2015 at 09:46AM",Tuesday,Weekday,4pm - 12am,florencecharlet,hi
"July 21, 2015 at 02:45PM",Tuesday,Weekday,12am - 8am,everydaymonotonous,hi
"August 09, 2015 at 02:09PM",Sunday,Weekend,12am - 8am,igojha,hi
"July 19, 2015 at 01:04AM",Saturday,Weekend,8am - 4pm,kateregan_,hi
"July 17, 2015 at 08:37AM",Thursday,Weekday,4pm - 12am,kentaromiura,hi
"August 18, 2015 at 11:20AM",Tuesday,Weekday,12am - 8am,teyness,hi
"July 27, 2015 at 05:44PM",Monday,Weekday,12am - 8am,jennymc871,hi
"August 18, 2015 at 11:23AM",Tuesday,Weekday,12am - 8am,yana0815,hi
"August 02, 2015 at 07:16AM",Saturday,Weekend,4pm - 12am,annabushtakova,hi
"July 31, 2015 at 01:38AM",Thursday,Weekday,8am - 4pm,macro_and_co,hi
"August 05, 2015 at 11:57AM",Wednesday,Weekday,12am - 8am,deivanchenko,hi
"August 03, 2015 at 03:27AM",Sunday,Weekend,4pm - 12am,mcrusti,hi
"August 02, 2015 at 04:19PM",Sunday,Weekend,12am - 8am,akosirandell,hi
"August 08, 2015 at 12:31AM",Friday,Weekday,8am - 4pm,zackg1212,hi
"July 22, 2015 at 05:42AM",Tuesday,Weekday,4pm - 12am,jingyi_li_,hi
"July 17, 2015 at 04:20AM",Thursday,Weekday,4pm - 12am,peterdmcginley,hi
"July 15, 2015 at 05:13PM",Wednesday,Weekday,12am - 8am,diegoaguirree,hi
"August 15, 2015 at 05:34PM",Saturday,Weekend,12am - 8am,marronms,hi
"August 06, 2015 at 12:10AM",Wednesday,Weekday,8am - 4pm,ifunnyang,hi
"July 13, 2015 at 03:24PM",Monday,Weekday,12am - 8am,maddiejohnson100,hi
"August 15, 2015 at 04:07AM",Friday,Weekday,4pm - 12am,kait.espinoxa,hi
"August 06, 2015 at 02:07AM",Wednesday,Weekday,4pm - 12am,uncertainty_pl,hi
"July 23, 2015 at 04:02PM",Thursday,Weekday,12am - 8am,abdulrahman999999999,hi
"July 31, 2015 at 06:52PM",Friday,Weekday,8am - 4pm,valottone,hi
"August 04, 2015 at 09:48AM",Monday,Weekday,4pm - 12am,lauren_elizabeth_ashe,hi
"August 12, 2015 at 09:46PM",Wednesday,Weekday,8am - 4pm,malousalazar,hi
"July 14, 2015 at 06:53PM",Tuesday,Weekday,8am - 4pm,_tyulin,hi
"August 08, 2015 at 01:32AM",Friday,Weekday,8am - 4pm,insta_wille,hi
"August 06, 2015 at 04:16AM",Wednesday,Weekday,4pm - 12am,susan_sugarpop,hi
"July 19, 2015 at 08:02PM",Sunday,Weekend,8am - 4pm,jellly.s,hi
"July 19, 2015 at 12:01AM",Saturday,Weekend,8am - 4pm,love.psg,hi
"July 21, 2015 at 08:24AM",Monday,Weekday,4pm - 12am,dreams_unwind_,hi
"July 31, 2015 at 01:00PM",Friday,Weekday,12am - 8am,powelledy,hi
"August 01, 2015 at 12:07PM",Saturday,Weekend,12am - 8am,cinthiamekeirel109,hi
"July 27, 2015 at 08:49PM",Monday,Weekday,8am - 4pm,sarahcaro8,hi
"July 22, 2015 at 08:33PM",Wednesday,Weekday,8am - 4pm,jessica.vazao,hi
"July 23, 2015 at 06:17PM",Thursday,Weekday,8am - 4pm,badoora_00,hi
"July 27, 2015 at 04:39PM",Monday,Weekday,12am - 8am,charles_jacksondurham,hi
"August 14, 2015 at 05:24AM",Thursday,Weekday,4pm - 12am,nataschavibolt,hi
"July 27, 2015 at 10:49PM",Monday,Weekday,8am - 4pm,lukasmury,hi
"August 17, 2015 at 02:11PM",Monday,Weekday,12am - 8am,giovannaromera,hi
"July 13, 2015 at 02:30PM",Monday,Weekday,12am - 8am,hitschh,hi
"August 05, 2015 at 05:59AM",Tuesday,Weekday,4pm - 12am,dariapenkala_,hi
"July 29, 2015 at 05:06AM",Tuesday,Weekday,4pm - 12am,charles_jacksondurham,hi
"August 11, 2015 at 08:22AM",Monday,Weekday,4pm - 12am,katrinab112,hi
"July 18, 2015 at 09:05AM",Friday,Weekday,4pm - 12am,crivaldo3,hi
"July 24, 2015 at 03:36PM",Friday,Weekday,12am - 8am,ilkerneptun,hi
"July 21, 2015 at 02:52AM",Monday,Weekday,4pm - 12am,salbagas,hi
"July 19, 2015 at 07:19AM",Saturday,Weekend,4pm - 12am,kz_anna,hi
"July 27, 2015 at 05:58AM",Sunday,Weekend,4pm - 12am,deddins7,hi
"July 17, 2015 at 02:16AM",Thursday,Weekday,4pm - 12am,polo_diazta,hi
"July 23, 2015 at 12:55PM",Thursday,Weekday,12am - 8am,lalucremicha,hi
"July 21, 2015 at 02:45PM",Tuesday,Weekday,12am - 8am,nik.affan,hi
"July 15, 2015 at 01:54PM",Wednesday,Weekday,12am - 8am,tychicusm,hi
"July 15, 2015 at 06:17PM",Wednesday,Weekday,8am - 4pm,nihad82,hi
"August 17, 2015 at 02:11PM",Monday,Weekday,12am - 8am,giovannaromera,hi
"July 22, 2015 at 08:29PM",Wednesday,Weekday,8am - 4pm,arietyo,hi
"July 22, 2015 at 06:16PM",Wednesday,Weekday,8am - 4pm,kanunsuz.oflu,hi
"August 02, 2015 at 11:15AM",Sunday,Weekend,12am - 8am,oodddd2y,hi
"July 31, 2015 at 08:00PM",Friday,Weekday,8am - 4pm,narwaizzicky,hi
"July 31, 2015 at 03:44AM",Thursday,Weekday,4pm - 12am,ptaillon65,hi
"July 29, 2015 at 07:34PM",Wednesday,Weekday,8am - 4pm,vivergourmet,hi
"August 08, 2015 at 06:26AM",Friday,Weekday,4pm - 12am,claudiovaronimartins,hi
"July 20, 2015 at 04:05PM",Monday,Weekday,12am - 8am,jacob_g_48_,hi
"July 28, 2015 at 06:00AM",Monday,Weekday,4pm - 12am,cmoijulie,hi
"July 19, 2015 at 07:19AM",Saturday,Weekend,4pm - 12am,mutssaa,hi
"July 27, 2015 at 05:45PM",Monday,Weekday,12am - 8am,marjo1979,hi
"August 05, 2015 at 03:54AM",Tuesday,Weekday,4pm - 12am,asya2710,hi
"August 03, 2015 at 01:31PM",Monday,Weekday,12am - 8am,voelin31,hi
"August 14, 2015 at 09:58PM",Friday,Weekday,8am - 4pm,leggoftheadamvariety,hi
"August 08, 2015 at 09:33AM",Friday,Weekday,4pm - 12am,kiwy0330,hi
"August 11, 2015 at 07:20AM",Monday,Weekday,4pm - 12am,melissa.shabazian,hi
"August 04, 2015 at 09:47AM",Monday,Weekday,4pm - 12am,chef.mohamadalkhaldy,hi
"July 26, 2015 at 07:55AM",Saturday,Weekend,4pm - 12am,uzimuzi,hi
"August 14, 2015 at 08:39AM",Thursday,Weekday,4pm - 12am,laurasidova,hi
"July 29, 2015 at 09:03AM",Tuesday,Weekday,4pm - 12am,martinarotorato,hi
"August 01, 2015 at 01:09PM",Saturday,Weekend,12am - 8am,hugo426,hi
"August 03, 2015 at 10:41PM",Monday,Weekday,8am - 4pm,shaleanmcollins,hi
"July 22, 2015 at 04:36AM",Tuesday,Weekday,4pm - 12am,gu_een1,hi
"July 17, 2015 at 03:52PM",Friday,Weekday,12am - 8am,kevinbradley1301,hi
"August 10, 2015 at 07:33PM",Monday,Weekday,8am - 4pm,subsidedmiles,hi
"August 01, 2015 at 11:19PM",Saturday,Weekend,8am - 4pm,emilylawson1991,hi
"July 13, 2015 at 10:27AM",Monday,Weekday,12am - 8am,carlos_5v,hi
"August 15, 2015 at 03:21PM",Saturday,Weekend,12am - 8am,rajeshkotenkar,hi
"July 13, 2015 at 09:05PM",Monday,Weekday,8am - 4pm,aaalice___,hi
"August 06, 2015 at 11:45AM",Thursday,Weekday,12am - 8am,corradoariano,hi
"July 13, 2015 at 09:26AM",Sunday,Weekend,4pm - 12am,unknow_artist_nobody,hi
"July 18, 2015 at 09:04AM",Friday,Weekday,4pm - 12am,jebjeb47,hi
"August 18, 2015 at 04:18AM",Monday,Weekday,4pm - 12am,mahmoud_ma27,hi
"July 25, 2015 at 08:48PM",Saturday,Weekend,8am - 4pm,jvegasf,hi
"August 16, 2015 at 07:50PM",Sunday,Weekend,8am - 4pm,lisbeth.64,hi
"July 18, 2015 at 07:59AM",Friday,Weekday,4pm - 12am,j_tamara_,hi
"July 24, 2015 at 05:47PM",Friday,Weekday,12am - 8am,sergeitchigak,hi
"July 24, 2015 at 05:49PM",Friday,Weekday,12am - 8am,sergeitchigak,hi
"July 31, 2015 at 05:05PM",Friday,Weekday,12am - 8am,jackyleiva1,hi
"August 01, 2015 at 02:09AM",Friday,Weekday,4pm - 12am,kaisashh,hi
"August 07, 2015 at 05:00PM",Friday,Weekday,12am - 8am,primariadida,hi
"August 07, 2015 at 05:04PM",Friday,Weekday,12am - 8am,primariadida,hi
"August 07, 2015 at 05:14PM",Friday,Weekday,12am - 8am,youstejuste,hi
"August 08, 2015 at 02:32AM",Friday,Weekday,4pm - 12am,noemiewonder,hi
"August 08, 2015 at 09:31AM",Friday,Weekday,4pm - 12am,eric_martin_bain,hi
"July 13, 2015 at 10:27AM",Monday,Weekday,12am - 8am,stefania_guadagnino,hi
"July 13, 2015 at 08:07PM",Monday,Weekday,8am - 4pm,camicamim_,hi
"August 04, 2015 at 09:48AM",Monday,Weekday,4pm - 12am,vtechthedj,hi
"August 10, 2015 at 08:39PM",Monday,Weekday,8am - 4pm,_6sous,hi
"August 11, 2015 at 08:19AM",Monday,Weekday,4pm - 12am,willveiga_,hi
"August 08, 2015 at 01:29PM",Saturday,Weekend,12am - 8am,coreymensing,hi
"August 15, 2015 at 09:48PM",Saturday,Weekend,8am - 4pm,kevinked06,hi
"August 16, 2015 at 12:52AM",Saturday,Weekend,8am - 4pm,markovujcic26,hi
"August 16, 2015 at 04:51AM",Saturday,Weekend,4pm - 12am,martisaltz,hi
"August 16, 2015 at 09:51AM",Saturday,Weekend,4pm - 12am,hanibaghi,hi
"August 16, 2015 at 09:53AM",Saturday,Weekend,4pm - 12am,danielunlimitedmx,hi
"July 27, 2015 at 02:53AM",Sunday,Weekend,4pm - 12am,pirates.travel,hi
"August 10, 2015 at 06:18AM",Sunday,Weekend,4pm - 12am,madambonini,hi
"August 06, 2015 at 10:03PM",Thursday,Weekday,8am - 4pm,clemence___gtr,hi
"July 28, 2015 at 08:07PM",Tuesday,Weekday,8am - 4pm,stefanmarcu,hi
"August 11, 2015 at 07:16PM",Tuesday,Weekday,8am - 4pm,helolefay,hi
"August 11, 2015 at 10:25PM",Tuesday,Weekday,8am - 4pm,gaboartegallery,hi
"August 12, 2015 at 07:35AM",Tuesday,Weekday,4pm - 12am,ale_xindri,hi
"July 15, 2015 at 02:00PM",Wednesday,Weekday,12am - 8am,vrmeil,hi
"July 15, 2015 at 02:40PM",Wednesday,Weekday,12am - 8am,vrmeil,hi
"July 15, 2015 at 02:58PM",Wednesday,Weekday,12am - 8am,vrmeil,hi
"July 15, 2015 at 08:27PM",Wednesday,Weekday,8am - 4pm,tanguy_bob,hi
"August 05, 2015 at 11:56AM",Wednesday,Weekday,12am - 8am,tamibarszez,hi
"August 06, 2015 at 04:13AM",Wednesday,Weekday,4pm - 12am,sucrey_saley,hi
"August 13, 2015 at 09:49AM",Wednesday,Weekday,4pm - 12am,daniellec106,hi
"August 20, 2015 at 07:25AM",Wednesday,Weekday,4pm - 12am,jordan.stef,hi
"August 12, 2015 at 04:31AM",Tuesday,Weekday,4pm - 12am,salarkh,hi
"July 20, 2015 at 02:47PM",Monday,Weekday,12am - 8am,janaina_diniz_de_moraes,hi
"August 18, 2015 at 03:50PM",Tuesday,Weekday,12am - 8am,alicia_happyboating,hi
"August 15, 2015 at 09:46PM",Saturday,Weekend,8am - 4pm,lisrachi,hi
"August 02, 2015 at 10:26PM",Sunday,Weekend,8am - 4pm,steven.j.gunawan,hi
"August 10, 2015 at 11:27AM",Monday,Weekday,12am - 8am,sabyfairy,hi
"August 10, 2015 at 01:48PM",Monday,Weekday,12am - 8am,amorraysirena,hi
"July 23, 2015 at 12:05PM",Thursday,Weekday,12am - 8am,eng.abdulla,hi
"July 15, 2015 at 03:21AM",Tuesday,Weekday,4pm - 12am,dan_saurus,hi
"August 02, 2015 at 04:16AM",Saturday,Weekend,4pm - 12am,daveyc383,hi
"August 05, 2015 at 05:56AM",Tuesday,Weekday,4pm - 12am,dariapenkala_,hi
"August 15, 2015 at 12:13PM",Saturday,Weekend,12am - 8am,we.do.promisee,hi
"July 26, 2015 at 01:58AM",Saturday,Weekend,8am - 4pm,valeriepillet,hi
"August 02, 2015 at 09:22AM",Saturday,Weekend,4pm - 12am,aidanaassanovna,hi
"August 13, 2015 at 02:26PM",Thursday,Weekday,12am - 8am,pameacunac,hi
"August 18, 2015 at 06:24PM",Tuesday,Weekday,8am - 4pm,hannie_dw,hi
"August 01, 2015 at 08:14AM",Friday,Weekday,4pm - 12am,margotlevi,hi
"August 06, 2015 at 07:25AM",Wednesday,Weekday,4pm - 12am,jholicbaby,hi
"August 09, 2015 at 03:36AM",Saturday,Weekend,4pm - 12am,sasanyoginy,hi
"July 14, 2015 at 09:02PM",Tuesday,Weekday,8am - 4pm,sonjamgm,hi
"July 19, 2015 at 08:05PM",Sunday,Weekend,8am - 4pm,nathjepatatje,hi
"August 05, 2015 at 02:47AM",Tuesday,Weekday,4pm - 12am,majinmas,hi
"July 28, 2015 at 07:01AM",Monday,Weekday,4pm - 12am,falchoon351,hi
"August 10, 2015 at 01:15AM",Sunday,Weekend,8am - 4pm,perebcn15,hi
"August 13, 2015 at 05:50AM",Wednesday,Weekday,4pm - 12am,jeanlemoine,hi
"August 15, 2015 at 06:08AM",Friday,Weekday,4pm - 12am,v_r78,hi
"August 10, 2015 at 02:27PM",Monday,Weekday,12am - 8am,nipnop,hi
"August 12, 2015 at 05:35AM",Tuesday,Weekday,4pm - 12am,becky_bowler,hi
"July 14, 2015 at 01:17AM",Monday,Weekday,8am - 4pm,sun_is_sunshine,hi
"July 19, 2015 at 04:15AM",Saturday,Weekend,4pm - 12am,guilhermehandler,hi
"August 17, 2015 at 01:43PM",Monday,Weekday,12am - 8am,noodlem1,hi
"July 29, 2015 at 11:12AM",Wednesday,Weekday,12am - 8am,paulipallesen,hi
"July 31, 2015 at 05:52AM",Thursday,Weekday,4pm - 12am,anchrl,hi
"August 14, 2015 at 02:26PM",Friday,Weekday,12am - 8am,gente_que_ama_viajar,hi
"August 07, 2015 at 12:14PM",Friday,Weekday,12am - 8am,caiovalenteferraz,hi
"July 27, 2015 at 06:54PM",Monday,Weekday,8am - 4pm,awushlali,hi
"August 17, 2015 at 07:16PM",Monday,Weekday,8am - 4pm,inarasuleymanova,hi
"August 07, 2015 at 08:30PM",Friday,Weekday,8am - 4pm,trymforseth,hi
"August 08, 2015 at 09:34AM",Friday,Weekday,4pm - 12am,voronoffa,hi
"July 27, 2015 at 07:58PM",Monday,Weekday,8am - 4pm,beau_reschke,hi
"July 28, 2015 at 01:33PM",Tuesday,Weekday,12am - 8am,brianna_whaley,hi
"July 14, 2015 at 11:26AM",Tuesday,Weekday,12am - 8am,dassshatasssha,hi
"August 01, 2015 at 07:14AM",Friday,Weekday,4pm - 12am,yigitliman,hi
"July 27, 2015 at 04:55PM",Monday,Weekday,12am - 8am,chomchanoo,hi
"July 18, 2015 at 05:30PM",Saturday,Weekend,12am - 8am,yashjain19042001,hi
"July 20, 2015 at 12:24AM",Sunday,Weekend,8am - 4pm,rzayev.nicat,hi
"July 27, 2015 at 12:55AM",Sunday,Weekend,8am - 4pm,goniabeytua,hi
"August 02, 2015 at 01:37PM",Sunday,Weekend,12am - 8am,kseniya_romantique_,hi
"July 29, 2015 at 01:36PM",Wednesday,Weekday,12am - 8am,blaginicholga,hi
"July 30, 2015 at 12:34AM",Wednesday,Weekday,8am - 4pm,jmlya,hi
"July 25, 2015 at 08:48AM",Friday,Weekday,4pm - 12am,nastyaryabinina,hi
"August 13, 2015 at 06:50PM",Thursday,Weekday,8am - 4pm,chirfernando,hi
"July 19, 2015 at 06:02PM",Sunday,Weekend,8am - 4pm,lekristoff,hi
"July 28, 2015 at 05:55PM",Tuesday,Weekday,12am - 8am,karrrington,hi
"July 21, 2015 at 02:50AM",Monday,Weekday,4pm - 12am,victorfcalmon,hi
"July 31, 2015 at 08:08PM",Friday,Weekday,8am - 4pm,notrebecca05,hi
"August 09, 2015 at 08:43PM",Sunday,Weekend,8am - 4pm,drtheonemd,hi
"July 16, 2015 at 04:01PM",Thursday,Weekday,12am - 8am,mohamed_bettahar,hi
"July 29, 2015 at 11:09AM",Wednesday,Weekday,12am - 8am,chris_belson,hi
"August 03, 2015 at 05:27AM",Sunday,Weekend,4pm - 12am,adam.b_,hi
"July 31, 2015 at 07:15PM",Friday,Weekday,8am - 4pm,emily5470,hi
"August 14, 2015 at 10:41AM",Friday,Weekday,12am - 8am,rickmutsaars,hi
"August 14, 2015 at 05:39PM",Friday,Weekday,12am - 8am,aboona11,hi
"August 14, 2015 at 08:00PM",Friday,Weekday,8am - 4pm,jxsmine.tate,hi
"August 15, 2015 at 07:07AM",Friday,Weekday,4pm - 12am,jonhugome,hi
"July 13, 2015 at 11:31AM",Monday,Weekday,12am - 8am,jihyeee_yo,hi
"July 21, 2015 at 02:44AM",Monday,Weekday,4pm - 12am,live_laugh_lex_,hi
"August 04, 2015 at 06:46AM",Monday,Weekday,4pm - 12am,lucymytton,hi
"August 11, 2015 at 01:14AM",Monday,Weekday,8am - 4pm,3liasaeed,hi
"August 17, 2015 at 10:04AM",Monday,Weekday,12am - 8am,jchichibu,hi
"August 17, 2015 at 06:06PM",Monday,Weekday,8am - 4pm,rio_2603,hi
"July 18, 2015 at 02:34PM",Saturday,Weekend,12am - 8am,haleighbaker22,hi
"July 19, 2015 at 01:01AM",Saturday,Weekend,8am - 4pm,milky.ig,hi
"July 19, 2015 at 07:21AM",Saturday,Weekend,4pm - 12am,_thehopelesswanderer_,hi
"July 25, 2015 at 03:50PM",Saturday,Weekend,12am - 8am,cjbutler22,hi
"July 26, 2015 at 05:56AM",Saturday,Weekend,4pm - 12am,prkswicaksono,hi
"July 26, 2015 at 07:55AM",Saturday,Weekend,4pm - 12am,mariaroslova,hi
"August 01, 2015 at 01:49PM",Saturday,Weekend,12am - 8am,enferannet,hi
"August 01, 2015 at 07:09PM",Saturday,Weekend,8am - 4pm,na.bel,hi
"August 09, 2015 at 05:34AM",Saturday,Weekend,4pm - 12am,renanduarte02,hi
"August 09, 2015 at 06:37AM",Saturday,Weekend,4pm - 12am,jess_mcnally,hi
"August 09, 2015 at 08:40AM",Saturday,Weekend,4pm - 12am,iremyesilkaya,hi
"August 16, 2015 at 02:48AM",Saturday,Weekend,4pm - 12am,_hannahhennessy,hi
"July 20, 2015 at 12:29AM",Sunday,Weekend,8am - 4pm,zhansaika21,hi
"July 27, 2015 at 06:02AM",Sunday,Weekend,4pm - 12am,dita9989,hi
"August 09, 2015 at 07:36PM",Sunday,Weekend,8am - 4pm,mariakucheyko,hi
"August 09, 2015 at 08:42PM",Sunday,Weekend,8am - 4pm,narenbharath,hi
"July 23, 2015 at 11:12PM",Thursday,Weekday,8am - 4pm,pllubb,hi
"July 24, 2015 at 12:09AM",Thursday,Weekday,8am - 4pm,sharonchu,hi
"July 30, 2015 at 01:44PM",Thursday,Weekday,12am - 8am,momalits,hi
"July 31, 2015 at 04:48AM",Thursday,Weekday,4pm - 12am,cnsdrn,hi
"August 14, 2015 at 05:24AM",Thursday,Weekday,4pm - 12am,nataliewidegger,hi
"August 14, 2015 at 08:43AM",Thursday,Weekday,4pm - 12am,k.spam_,hi
"August 20, 2015 at 12:32PM",Thursday,Weekday,12am - 8am,annie_mestas,hi
"August 20, 2015 at 10:59PM",Thursday,Weekday,8am - 4pm,abbytriesnailart,hi
"July 14, 2015 at 09:00PM",Tuesday,Weekday,8am - 4pm,amyoamal,hi
"July 21, 2015 at 04:51PM",Tuesday,Weekday,12am - 8am,alberttjong,hi
"July 22, 2015 at 12:16AM",Tuesday,Weekday,8am - 4pm,itsjessielee,hi
"July 22, 2015 at 09:53AM",Tuesday,Weekday,4pm - 12am,miiiiiiiizah,hi
"July 28, 2015 at 08:08PM",Tuesday,Weekday,8am - 4pm,christiana_m_,hi
"August 05, 2015 at 04:53AM",Tuesday,Weekday,4pm - 12am,nurislam13,hi
"August 18, 2015 at 10:22AM",Tuesday,Weekday,12am - 8am,mathol,hi
"August 18, 2015 at 11:31PM",Tuesday,Weekday,8am - 4pm,thetabernaclepress,hi
"August 19, 2015 at 06:06AM",Tuesday,Weekday,4pm - 12am,s__sa_man_tha,hi
"August 19, 2015 at 06:09AM",Tuesday,Weekday,4pm - 12am,uae_ahmed__,hi
"July 15, 2015 at 08:29PM",Wednesday,Weekday,8am - 4pm,zinminswe,hi
"July 22, 2015 at 04:54PM",Wednesday,Weekday,12am - 8am,janetgalassodesign,hi
"July 22, 2015 at 08:34PM",Wednesday,Weekday,8am - 4pm,stefanvdstaal,hi
"July 29, 2015 at 10:06AM",Wednesday,Weekday,12am - 8am,logangodby,hi
