Time stamp,Paris Day text,Paris Day Type,Paris third,Instagram user,Instgram photo
"July 24, 2015 at 01:48PM",Friday,Weekday,12am - 8am,lucille__v,hi
"July 23, 2015 at 04:41PM",Thursday,Weekday,12am - 8am,chalniski,hi
"July 24, 2015 at 08:51AM",Thursday,Weekday,4pm - 12am,kjewelphotog,hi
"July 23, 2015 at 03:22PM",Thursday,Weekday,12am - 8am,titi_kamall,hi
"July 24, 2015 at 11:42AM",Friday,Weekday,12am - 8am,erisieburger,hi
"July 23, 2015 at 07:57PM",Thursday,Weekday,8am - 4pm,quamarlee,hi
"July 22, 2015 at 12:52PM",Wednesday,Weekday,12am - 8am,gulari,hi
"July 23, 2015 at 08:37AM",Wednesday,Weekday,4pm - 12am,aidabalica,hi
"July 24, 2015 at 12:41AM",Thursday,Weekday,8am - 4pm,kovalevvlad,hi
"July 23, 2015 at 09:33AM",Wednesday,Weekday,4pm - 12am,_marcecast,hi
"July 23, 2015 at 10:34PM",Thursday,Weekday,8am - 4pm,skylarjane,hi
"July 23, 2015 at 02:26AM",Wednesday,Weekday,4pm - 12am,joseantonioesparza,hi
"July 24, 2015 at 03:35PM",Friday,Weekday,12am - 8am,sand.deep_,hi
"July 23, 2015 at 06:25PM",Thursday,Weekday,8am - 4pm,danyelavds,hi
"July 22, 2015 at 09:30PM",Wednesday,Weekday,8am - 4pm,tulluv,hi
"July 24, 2015 at 09:57AM",Thursday,Weekday,4pm - 12am,brifrey8999,hi
"July 22, 2015 at 10:16PM",Wednesday,Weekday,8am - 4pm,w_paris_tours,hi
"July 22, 2015 at 10:18PM",Wednesday,Weekday,8am - 4pm,wiebke.rimkus,hi
"July 22, 2015 at 10:22PM",Wednesday,Weekday,8am - 4pm,carl_wjy,hi
"July 24, 2015 at 03:37AM",Thursday,Weekday,4pm - 12am,philnfree,hi
"July 23, 2015 at 08:49AM",Wednesday,Weekday,4pm - 12am,legend.gsctx,hi
"July 24, 2015 at 09:53AM",Thursday,Weekday,4pm - 12am,sebjust,hi
"July 23, 2015 at 05:40AM",Wednesday,Weekday,4pm - 12am,al_singapore,hi
"July 22, 2015 at 12:42PM",Wednesday,Weekday,12am - 8am,teresadilger,hi
"July 23, 2015 at 02:00PM",Thursday,Weekday,12am - 8am,kelwel78,hi
"July 23, 2015 at 04:10PM",Thursday,Weekday,12am - 8am,melissalawner,hi
"July 22, 2015 at 07:24PM",Wednesday,Weekday,8am - 4pm,aline.raffestin,hi
"July 24, 2015 at 11:42AM",Friday,Weekday,12am - 8am,cmnilon,hi
"July 22, 2015 at 08:53PM",Wednesday,Weekday,8am - 4pm,mssplendid,hi
"July 22, 2015 at 10:17AM",Wednesday,Weekday,12am - 8am,lucyfollon,hi
"July 22, 2015 at 02:49PM",Wednesday,Weekday,12am - 8am,georgette.elias,hi
"July 23, 2015 at 09:48AM",Wednesday,Weekday,4pm - 12am,andrewrichardson,hi
"July 23, 2015 at 07:25PM",Thursday,Weekday,8am - 4pm,sophiedesaintsernin,hi
"July 24, 2015 at 03:17PM",Friday,Weekday,12am - 8am,jujujuwon,hi
"July 23, 2015 at 12:30PM",Thursday,Weekday,12am - 8am,noamlusia,hi
"July 24, 2015 at 12:06PM",Friday,Weekday,12am - 8am,chanbrmyg,hi
"July 22, 2015 at 07:05PM",Wednesday,Weekday,8am - 4pm,amayahill,hi
"July 22, 2015 at 03:26PM",Wednesday,Weekday,12am - 8am,diana_dikate,hi
"July 23, 2015 at 04:50PM",Thursday,Weekday,12am - 8am,special_ed_tsang,hi
"July 22, 2015 at 10:21AM",Wednesday,Weekday,12am - 8am,maryiafilimonova,hi
"July 23, 2015 at 10:25AM",Thursday,Weekday,12am - 8am,vlesykrasivo,hi
"July 22, 2015 at 11:27PM",Wednesday,Weekday,8am - 4pm,vicenzofuga,hi
"July 24, 2015 at 12:07AM",Thursday,Weekday,8am - 4pm,raya_tr,hi
"July 22, 2015 at 03:24PM",Wednesday,Weekday,12am - 8am,aaronholmgren,hi
"July 24, 2015 at 04:10PM",Friday,Weekday,12am - 8am,alina_bagaveeva,hi
"July 23, 2015 at 09:23AM",Wednesday,Weekday,4pm - 12am,cozyroomdetails,hi
"July 23, 2015 at 01:38PM",Thursday,Weekday,12am - 8am,samanthasalvemini,hi
"July 23, 2015 at 07:23PM",Thursday,Weekday,8am - 4pm,trendymyblue,hi
"July 23, 2015 at 12:36PM",Thursday,Weekday,12am - 8am,marianaatg,hi
"July 23, 2015 at 10:50AM",Thursday,Weekday,12am - 8am,sweethoneymary,hi
"July 22, 2015 at 07:43PM",Wednesday,Weekday,8am - 4pm,ayudd,hi
"July 24, 2015 at 12:34AM",Thursday,Weekday,8am - 4pm,_hastalavista_,hi
"July 22, 2015 at 10:25AM",Wednesday,Weekday,12am - 8am,nadineavilaz,hi
"July 23, 2015 at 10:32AM",Thursday,Weekday,12am - 8am,vlesykrasivo,hi
"July 24, 2015 at 11:45AM",Friday,Weekday,12am - 8am,mariapaurv,hi
"July 24, 2015 at 08:58AM",Thursday,Weekday,4pm - 12am,the_goods_band,hi
"July 24, 2015 at 05:44AM",Thursday,Weekday,4pm - 12am,jdiegog13,hi
"July 24, 2015 at 05:47AM",Thursday,Weekday,4pm - 12am,charledward,hi
"July 22, 2015 at 10:44PM",Wednesday,Weekday,8am - 4pm,lilu_1013,hi
"July 24, 2015 at 12:38PM",Friday,Weekday,12am - 8am,enirolac,hi
"July 24, 2015 at 12:35AM",Thursday,Weekday,8am - 4pm,mr_asatryan,hi
"July 24, 2015 at 03:27AM",Thursday,Weekday,4pm - 12am,martinfromthebridge,hi
"July 23, 2015 at 09:36PM",Thursday,Weekday,8am - 4pm,lorenzaguillou,hi
