Time stamp,Paris Day text,Instagram user,,md,yHMp,,days
"July 23, 2015 at 08:13AM",Wednesday,azooz3302,,"July 23,",2015 at 08:13AM,,15
"July 23, 2015 at 10:21PM",Thursday,heyyy_joee,,"July 23,",2015 at 10:21PM,,15
"July 22, 2015 at 09:05PM",Wednesday,sabantuichik,,"July 22,",2015 at 09:05PM,,15
"July 23, 2015 at 08:49AM",Wednesday,jules_mairesse,,"July 23,",2015 at 08:49AM,,15
"July 23, 2015 at 06:10PM",Thursday,paolobolo,,"July 23,",2015 at 06:10PM,,15
"July 23, 2015 at 11:18PM",Thursday,jojojule,,"July 23,",2015 at 11:18PM,,15
"July 22, 2015 at 09:58PM",Wednesday,alain_ben,,"July 22,",2015 at 09:58PM,,15
"July 23, 2015 at 11:18PM",Thursday,talimiguel,,"July 23,",2015 at 11:18PM,,15
"July 23, 2015 at 06:58PM",Thursday,thefroginthemug,,"July 23,",2015 at 06:58PM,,15
"July 22, 2015 at 09:40PM",Wednesday,manon_merie,,"July 22,",2015 at 09:40PM,,15
"July 22, 2015 at 03:21PM",Wednesday,hicone,,"July 22,",2015 at 03:21PM,,15
"July 23, 2015 at 02:16AM",Wednesday,fernandopachecobellas,,"July 23,",2015 at 02:16AM,,15
"July 22, 2015 at 10:47PM",Wednesday,omardumeto,,"July 22,",2015 at 10:47PM,,15
"July 23, 2015 at 05:40AM",Wednesday,ikieya,,"July 23,",2015 at 05:40AM,,15
"July 22, 2015 at 02:30PM",Wednesday,badgalniek,,"July 22,",2015 at 02:30PM,,15
"July 22, 2015 at 04:54PM",Wednesday,sussuch,,"July 22,",2015 at 04:54PM,,15
"July 24, 2015 at 11:16AM",Friday,lorenelnrpa_risienne,,"July 24,",2015 at 11:16AM,,15
"July 23, 2015 at 05:30AM",Wednesday,rbkdtch,,"July 23,",2015 at 05:30AM,,15
"July 22, 2015 at 06:57PM",Wednesday,ian_johnstone1,,"July 22,",2015 at 06:57PM,,15
"July 24, 2015 at 03:28AM",Thursday,ali_ains,,"July 24,",2015 at 03:28AM,,15
"July 23, 2015 at 12:24PM",Thursday,burcubabayigit,,"July 23,",2015 at 12:24PM,,15
"July 23, 2015 at 08:19AM",Wednesday,enrangdoignons,,"July 23,",2015 at 08:19AM,,15
"July 23, 2015 at 08:44AM",Wednesday,missbbeycaro225,,"July 23,",2015 at 08:44AM,,15
"July 22, 2015 at 10:26PM",Wednesday,forte050789,,"July 22,",2015 at 10:26PM,,15
"July 23, 2015 at 10:42AM",Thursday,irene_yelin,,"July 23,",2015 at 10:42AM,,15
"July 22, 2015 at 08:49PM",Wednesday,jordannahleach,,"July 22,",2015 at 08:49PM,,15
"July 23, 2015 at 06:13PM",Thursday,angelinamaggie,,"July 23,",2015 at 06:13PM,,15
"July 24, 2015 at 12:22AM",Thursday,uesenn,,"July 24,",2015 at 12:22AM,,15
"July 23, 2015 at 03:13PM",Thursday,titi_kamall,,"July 23,",2015 at 03:13PM,,15
"July 24, 2015 at 01:48PM",Friday,lucille__v,,"July 24,",2015 at 01:48PM,,15
"July 23, 2015 at 04:41PM",Thursday,chalniski,,"July 23,",2015 at 04:41PM,,15
"July 24, 2015 at 08:51AM",Thursday,kjewelphotog,,"July 24,",2015 at 08:51AM,,15
"July 23, 2015 at 03:22PM",Thursday,titi_kamall,,"July 23,",2015 at 03:22PM,,15
"July 24, 2015 at 11:42AM",Friday,erisieburger,,"July 24,",2015 at 11:42AM,,15
"July 23, 2015 at 07:57PM",Thursday,quamarlee,,"July 23,",2015 at 07:57PM,,15
"July 22, 2015 at 12:52PM",Wednesday,gulari,,"July 22,",2015 at 12:52PM,,15
"July 23, 2015 at 08:37AM",Wednesday,aidabalica,,"July 23,",2015 at 08:37AM,,15
"July 24, 2015 at 12:41AM",Thursday,kovalevvlad,,"July 24,",2015 at 12:41AM,,15
"July 23, 2015 at 09:33AM",Wednesday,_marcecast,,"July 23,",2015 at 09:33AM,,15
"July 23, 2015 at 10:34PM",Thursday,skylarjane,,"July 23,",2015 at 10:34PM,,15
"July 23, 2015 at 02:26AM",Wednesday,joseantonioesparza,,"July 23,",2015 at 02:26AM,,15
"July 24, 2015 at 03:35PM",Friday,sand.deep_,,"July 24,",2015 at 03:35PM,,15
"July 23, 2015 at 06:25PM",Thursday,danyelavds,,"July 23,",2015 at 06:25PM,,15
"July 22, 2015 at 09:30PM",Wednesday,tulluv,,"July 22,",2015 at 09:30PM,,15
